"AU","Auther","Detail"
"本家Undertale","Toby Fox","Asgore"
"本家Undertale","Toby Fox","Asriel"
"Disbelief Papyrus","Cezar Andrade","Phase1"
"Ink!Sans Fight 0.39","Crosu","Phase1 Yes GKey"
