"AU","Auther","Detail"
"Ink!Sans Fight 0.39","Crosu","Phase3 No GKey"
"Undertale Last Breath","Team Last Breath","Phase2"
"Disbelief Papyrus","Cezar Andrade","Phase3"
"Disbelief Papyrus","Cezar Andrade","Phase4"
