"AU","Auther","Detail"
"Ink!Sans Fight 0.39","Crosu","Phase2 No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 True Genocide!Asgore No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Ultimatale Undyne EX No GKey"
"Bad Time Trio","luye!","Normal"
"Disbelief Papyrus","Cezar Andrare","Phase2 No Heal"
