"AU","Auther","Detail"
"Ink!Sans Fight 0.37","Crosu","Phase1"
"Ink!Sans Fight 0.39","Crosu","Phase3 Altertale Toriel No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Ultimatale Alphys No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Storyswap Color Asriel No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 OverSave-Tale Mettaton NEO No GKey"
"Disbelief Papyrus","Cezar Andrade","Phase2"
