"AU","Auther","Detail"
"本家Undertale","Toby Fox","Sans"
"Ink!Sans Fight 0.39","Crosu","Phase1 No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Disbelief Papyrus No GKey"
"Ink!Sans Fight 0.39","Crosu","Phase3 Yes GKey"
"I.N.K.F.E.L.L","AlphaOmegatale","Phase1"
"Disbelief Papyrus","Cezar Andrade","Phase1 No Heal"
